,N°déclaration,Date déclaration,N°manifeste,N°BL,N°Liquidation,Bureau,Type déclaration,Déclarant,Code Opérateur,Nom Opérateur,Code destinataire réel/Exportateur réel,Nom Destinataire réel / Exportarteur réel,Fournisseur,Circuit,Type visite,Produit,Regime Etendu,Code Additionnel,Nature emballage,Incoterm,Provenance,Origine,Destination,Marque1,Marque2,D&T,Val FOB,Val CAF,Pds Brut,Pds Net,Nbr Colis,Sous_Produit,fret,PU,D&T_tx,PU_moy,PU_min,PU_max,PU_med,Ecart
0,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 18,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208201000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"748,850","596,265","605,894",130,72,5,Cognac,"9,629",8281.46,1.24,20512.01,4752.141430948419,30378.088888888888,24070.28813559322,2.48
1,2023CIAB5C1059,2023-10-05,-,CIAB5 2022 S 1280 art. 1,2023CIAB5L2071,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","PIERRE JEAN LARRAQUE
33240 SAINT ANDRE DE CUBZAC-F",ROUGE,Visite a Domicile,2204210000,4070,0,"CS - Boite (""case"")",FOB,FR,France,CI,-,-,"252,007","209,250","219,764",164,104,25,"Vins (sauf mousseux), moûts de raisin dont la","10,514",2012.02,1.15,2357.05,2012.0192307692307,3262.4268219576948,2016.2857142857142,1.17
2,2023CIAB5C1059,2023-10-05,-,CIAB5 2022 S 1280 art. 5,2023CIAB5L2071,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","PIERRE JEAN LARRAQUE
33240 SAINT ANDRE DE CUBZAC-F",ROUGE,Visite a Domicile,2204210000,4070,0,"CS - Boite (""case"")",FOB,FR,France,CI,-,-,"515,886","428,340","449,885",335,212,60,"Vins (sauf mousseux), moûts de raisin dont la","21,545",2020.47,1.15,2357.05,2012.0192307692307,3262.4268219576948,2016.2857142857142,1.17
3,2023CIAB5C1059,2023-10-05,-,CIAB5 2022 S 1280 art. 6,2023CIAB5L2071,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","PIERRE JEAN LARRAQUE
33240 SAINT ANDRE DE CUBZAC-F",ROUGE,Visite a Domicile,2204210000,4070,0,"CS - Boite (""case"")",FOB,FR,France,CI,-,-,"1,019,969","846,840","889,480",663,420,22,"Vins (sauf mousseux), moûts de raisin dont la","42,640",2016.29,1.15,2357.05,2012.0192307692307,3262.4268219576948,2016.2857142857142,1.17
4,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 8,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208400000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"729,080","580,522","589,898",126,71,18,vieprovenant de la disti,"9,376",8176.37,1.24,16702.22,1459.14,30611.333333333332,15083.88253968254,2.04
5,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 9,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208400000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"729,910","581,178","590,570",127,70,8,vieprovenant de la disti,"9,392",8302.54,1.24,16702.22,1459.14,30611.333333333332,15083.88253968254,2.01
6,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 6,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208400000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"920,217","732,704","744,546",160,89,15,vieprovenant de la disti,"11,842",8232.63,1.24,16702.22,1459.14,30611.333333333332,15083.88253968254,2.03
7,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 5,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208600000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"772,747","615,288","625,228",135,75,10,Vodka,"9,940",8203.84,1.24,16597.61,1446.9705882352941,30830.0,21041.076923076922,2.02
8,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 4,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208500000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"1,116,287","888,822","903,187",194,108,14,Gin et genièvre,"14,365",8229.83,1.24,16792.51,1463.2884615384614,30611.333333333332,22051.735294117647,2.04
9,2023CIAB5C1060,2023-10-05,-,CIAB5 2023 S 656 art. 17,2023CIAB5L2072,CIAB5,Mise à la consommation,"00069Z -AFRICA GLOBAL LOGISTICS CI
01 BP 1727 ABIDJAN 01
T",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE",5005998Z,"SODIREP-STE DE DIFFUSION
01 BP 603 ABIDJAN 01
ZONE","TRADALL SA
265 ROUTE DE MEYRIN CH-1217 MEYRIN SUIS",ROUGE,Visite a Domicile,2208300000,4070,0,"PC - Colis (""parcel"")",FCA,IT,PLUSIEURS,CI,-,-,"318,823","253,855","257,958",55,31,8,Whiskies,"4,103",8188.87,1.24,16135.90,1459.834451901566,30652.591549295776,15108.696543517068,1.97
